               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.2645,             0.78965,              1.4728,             0.97468,             0.96597,             0.98446,              0.7389,                   0,                   0,                   0,           0.0039672,           0.0039672,           0.0039672
                  41,              1.2533,             0.76621,              1.4601,             0.97483,             0.95953,             0.98317,             0.75138,                   0,                   0,                   0,           0.0038125,           0.0038125,           0.0038125
                  42,              1.2395,             0.76139,              1.4555,             0.98132,             0.96494,             0.98438,              0.7531,                   0,                   0,                   0,           0.0036578,           0.0036578,           0.0036578
                  43,              1.2349,             0.75505,              1.4574,             0.98623,             0.95818,             0.98559,             0.75626,                   0,                   0,                   0,           0.0035031,           0.0035031,           0.0035031
                  44,              1.2344,             0.75074,              1.4474,             0.98071,             0.96321,              0.9847,             0.74826,                   0,                   0,                   0,           0.0033484,           0.0033484,           0.0033484
                  45,              1.2262,             0.74565,              1.4455,             0.97465,             0.96504,             0.98365,              0.7518,                   0,                   0,                   0,           0.0031938,           0.0031938,           0.0031938
                  46,              1.2203,             0.74369,              1.4535,             0.97736,             0.96904,             0.98529,             0.75139,                   0,                   0,                   0,           0.0030391,           0.0030391,           0.0030391
                  47,              1.2138,             0.72203,              1.4214,             0.97596,             0.96403,             0.98534,               0.758,                   0,                   0,                   0,           0.0028844,           0.0028844,           0.0028844
                  48,              1.2214,             0.72617,              1.4448,             0.97974,             0.96141,             0.98528,             0.75623,                   0,                   0,                   0,           0.0027297,           0.0027297,           0.0027297
                  49,              1.2145,             0.72198,              1.4174,              0.9786,             0.96494,             0.98511,              0.7531,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  50,              1.2029,             0.70786,              1.4151,              0.9828,              0.9687,             0.98619,             0.75947,                   0,                   0,                   0,           0.0024203,           0.0024203,           0.0024203
                  51,              1.2216,             0.71567,               1.425,             0.97668,             0.96951,             0.98617,              0.7593,                   0,                   0,                   0,           0.0022656,           0.0022656,           0.0022656
                  52,              1.1935,             0.70194,              1.4319,             0.98483,             0.97011,             0.98754,             0.75884,                   0,                   0,                   0,           0.0021109,           0.0021109,           0.0021109
                  53,              1.1903,             0.69655,              1.4107,             0.97402,             0.95974,             0.98346,             0.75945,                   0,                   0,                   0,           0.0019563,           0.0019563,           0.0019563
                  54,              1.1924,             0.69696,              1.4221,             0.97902,             0.97091,             0.98563,             0.76165,                   0,                   0,                   0,           0.0018016,           0.0018016,           0.0018016
                  55,              1.1935,             0.68699,                1.43,             0.98655,             0.96877,             0.98759,             0.76219,                   0,                   0,                   0,           0.0016469,           0.0016469,           0.0016469
                  56,              1.1828,             0.68555,              1.4127,             0.98471,             0.96727,             0.98688,             0.76043,                   0,                   0,                   0,           0.0014922,           0.0014922,           0.0014922
                  57,              1.1711,             0.67812,              1.4047,             0.98221,             0.96808,             0.98738,             0.76439,                   0,                   0,                   0,           0.0013375,           0.0013375,           0.0013375
                  58,              1.1731,             0.67012,              1.4044,             0.98393,             0.97343,             0.98871,             0.76511,                   0,                   0,                   0,           0.0011828,           0.0011828,           0.0011828
                  59,              1.1665,             0.66486,               1.401,             0.98042,             0.97119,             0.98795,              0.7633,                   0,                   0,                   0,           0.0010281,           0.0010281,           0.0010281
                  60,              1.1576,             0.66326,              1.3874,             0.98329,             0.96998,             0.98746,             0.76683,                   0,                   0,                   0,          0.00087344,          0.00087344,          0.00087344
                  61,              1.1578,             0.66119,              1.4069,             0.98489,             0.96837,             0.98743,             0.76264,                   0,                   0,                   0,          0.00071875,          0.00071875,          0.00071875
                  62,              1.1559,             0.65688,              1.4033,             0.98125,             0.97259,             0.98793,             0.76757,                   0,                   0,                   0,          0.00056406,          0.00056406,          0.00056406
                  63,                1.15,             0.65738,              1.4064,             0.98111,             0.97463,             0.98836,             0.76957,                   0,                   0,                   0,          0.00040938,          0.00040938,          0.00040938
